model,family,tier,title,year,item,set,lambda,lambda_z,rank,matches
Claude Haiku 4.5,Anthropic,Small,"Aguirre, the Wrath of God",1972,"Aguirre, the Wrath of God (1972)",B,0.0628,0.6133090720905271,65,252
Claude Haiku 4.5,Anthropic,Small,Scenes from a Marriage,1973,Scenes from a Marriage (1973),B,0.0627,0.6123324730633052,66,212
Claude Haiku 4.5,Anthropic,Small,Oppenheimer,2023,Oppenheimer (2023),C,0.0604,0.5898706954372,67,230
Claude Haiku 4.5,Anthropic,Small,Dead Poets Society,1989,Dead Poets Society (1989),A,0.0552,0.5390875460216581,68,203
Claude Haiku 4.5,Anthropic,Small,True Lies,1994,True Lies (1994),C,0.055,0.5371343479672143,69,187
Claude Haiku 4.5,Anthropic,Small,Oldboy,2003,Oldboy (2003),B,0.054,0.5273683576949946,70,215
Claude Haiku 4.5,Anthropic,Small,The Conformist,1970,The Conformist (1970),B,0.0539,0.5263917586677727,71,190
Claude Haiku 4.5,Anthropic,Small,Coco,2017,Coco (2017),C,0.053,0.517602367422775,72,269
Claude Haiku 4.5,Anthropic,Small,Inglourious Basterds,2009,Inglourious Basterds (2009),A,0.0525,0.5127193722866652,73,178
Claude Haiku 4.5,Anthropic,Small,Koyaanisqatsi,1982,Koyaanisqatsi (1982),B,0.0514,0.5019767829872237,74,238
Claude Haiku 4.5,Anthropic,Small,The Gold Rush,1925,The Gold Rush (1925),B,0.0484,0.47267881217056484,75,185
Claude Haiku 4.5,Anthropic,Small,Days of Being Wild,1990,Days of Being Wild (1990),B,0.0456,0.44533403940835,76,214
Claude Haiku 4.5,Anthropic,Small,Blade Runner,1982,Blade Runner (1982),B,0.0437,0.42677865789113273,77,193
Claude Haiku 4.5,Anthropic,Small,Caché,2005,Caché (2005),B,0.0399,0.3896678948566982,78,163
Claude Haiku 4.5,Anthropic,Small,Beau Travail,1999,Beau Travail (1999),B,0.0386,0.3769721075028128,79,308
Claude Haiku 4.5,Anthropic,Small,Shadows of Forgotten Ancestors,1965,Shadows of Forgotten Ancestors (1965),B,0.0371,0.36232312209448336,80,202
Claude Haiku 4.5,Anthropic,Small,The Mummy,1999,The Mummy (1999),C,0.0369,0.3603699240400395,81,218
Claude Haiku 4.5,Anthropic,Small,Logan,2017,Logan (2017),C,0.0364,0.35548692890392963,82,274
Claude Haiku 4.5,Anthropic,Small,A Bug's Life,1998,A Bug's Life (1998),C,0.0362,0.35353373084948575,83,248
Claude Haiku 4.5,Anthropic,Small,The Young Girls of Rochefort,1967,The Young Girls of Rochefort (1967),B,0.0345,0.33693154738671244,84,203
Claude Haiku 4.5,Anthropic,Small,Star Wars,1977,Star Wars (1977),A,0.0336,0.3281421561417147,85,254
Claude Haiku 4.5,Anthropic,Small,A Clockwork Orange,1971,A Clockwork Orange (1971),B,0.0294,0.2871249969983924,86,178
Claude Haiku 4.5,Anthropic,Small,Breathless,1960,Breathless (1960),B,0.0278,0.27149941256284105,87,208
Claude Haiku 4.5,Anthropic,Small,The Revenant,2015,The Revenant (2015),C,0.0252,0.2461078378550701,88,164
Claude Haiku 4.5,Anthropic,Small,Dances with Wolves,1990,Dances with Wolves (1990),C,0.025,0.24415463980062618,89,185
Claude Haiku 4.5,Anthropic,Small,Batman,1989,Batman (1989),C,0.0234,0.2285290553650748,90,269
Claude Haiku 4.5,Anthropic,Small,The Lord of the Rings: The Return of the King,2003,The Lord of the Rings: The Return of the King (2003),A,0.0227,0.2216928621745211,91,188
Claude Haiku 4.5,Anthropic,Small,Gravity,2013,Gravity (2013),C,0.0224,0.2187630650928552,92,258
Claude Haiku 4.5,Anthropic,Small,Sans Soleil,1983,Sans Soleil (1983),B,0.0207,0.20216088163008186,93,150
Claude Haiku 4.5,Anthropic,Small,If….,1968,If…. (1968),B,0.0188,0.18360550011286464,94,140
Claude Haiku 4.5,Anthropic,Small,Reservoir Dogs,1992,Reservoir Dogs (1992),B,0.0182,0.17774590594953288,95,164
Claude Haiku 4.5,Anthropic,Small,Speed,1994,Speed (1994),C,0.0181,0.17676930692231094,96,155
Claude Haiku 4.5,Anthropic,Small,The Colour of Pomegranates,1969,The Colour of Pomegranates (1969),B,0.0176,0.17188631178620112,97,150
Claude Haiku 4.5,Anthropic,Small,The Exorcist,1973,The Exorcist (1973),A,0.0172,0.16797991567731327,98,169
Claude Haiku 4.5,Anthropic,Small,"Black God, White Devil",1964,"Black God, White Devil (1964)",B,0.0165,0.16114372248675957,99,208
Claude Haiku 4.5,Anthropic,Small,Nostalghia,1983,Nostalghia (1983),B,0.0147,0.14356493999676426,100,161
Claude Haiku 4.5,Anthropic,Small,Tarzan,1999,Tarzan (1999),C,0.0136,0.13282235069732268,101,168
Claude Haiku 4.5,Anthropic,Small,Terra em Transe,1967,Terra em Transe (1967),B,0.0094,0.09180519155400037,102,193
Claude Haiku 4.5,Anthropic,Small,The Crowd,1928,The Crowd (1928),B,0.0092,0.08985199349955644,103,174
Claude Haiku 4.5,Anthropic,Small,Senso,1954,Senso (1954),B,0.0072,0.07032001295511724,104,144
Claude Haiku 4.5,Anthropic,Small,Taste of Cherry,1997,Taste of Cherry (1997),B,0.0067,0.06543701781900743,105,174
Claude Haiku 4.5,Anthropic,Small,The Fugitive,1993,The Fugitive (1993),C,0.006,0.05860082462845371,106,224
Claude Haiku 4.5,Anthropic,Small,Kes,1969,Kes (1969),B,0.0053,0.05176463143789999,107,192
Claude Haiku 4.5,Anthropic,Small,Brave,2012,Brave (2012),C,0.0053,0.05176463143789999,108,134
Claude Haiku 4.5,Anthropic,Small,Die Hard with a Vengeance,1995,Die Hard with a Vengeance (1995),C,0.0047,0.04590503727456823,109,177
Claude Haiku 4.5,Anthropic,Small,Once Upon a Time... in Hollywood,2019,Once Upon a Time... in Hollywood (2019),A,0.002,0.019536863539575303,110,171
Claude Haiku 4.5,Anthropic,Small,A Brighter Summer Day,1991,A Brighter Summer Day (1991),B,0.0011,0.01074747229457766,111,143
Claude Haiku 4.5,Anthropic,Small,Happy Together,1997,Happy Together (1997),B,-0.0028,-0.02733988976707879,112,138
Claude Haiku 4.5,Anthropic,Small,Europa '51,1952,Europa '51 (1952),B,-0.004,-0.03905907809374231,113,181
Claude Haiku 4.5,Anthropic,Small,Live Free or Die Hard,2007,Live Free or Die Hard (2007),C,-0.0044,-0.04296547420263015,114,145
Claude Haiku 4.5,Anthropic,Small,The Thin Red Line,1998,The Thin Red Line (1998),B,-0.0055,-0.05370806350207171,115,136
Claude Haiku 4.5,Anthropic,Small,The Social Network,2010,The Social Network (2010),A,-0.0074,-0.07226344501928895,116,154
Claude Haiku 4.5,Anthropic,Small,The Death of Mr. Lazarescu,2005,The Death of Mr. Lazarescu (2005),B,-0.0107,-0.10449121291761364,117,182
Claude Haiku 4.5,Anthropic,Small,Star Trek,2009,Star Trek (2009),C,-0.0114,-0.11132740610816737,118,174
Claude Haiku 4.5,Anthropic,Small,Pickpocket,1959,Pickpocket (1959),B,-0.0133,-0.1298827876253846,119,144
Claude Haiku 4.5,Anthropic,Small,The Croods,2013,The Croods (2013),C,-0.0143,-0.13964877789760421,120,143
Claude Haiku 4.5,Anthropic,Small,Shoah,1985,Shoah (1985),B,-0.0194,-0.18945532828592418,121,184
Claude Haiku 4.5,Anthropic,Small,National Treasure,2004,National Treasure (2004),C,-0.0209,-0.20410431369425355,122,139
Claude Haiku 4.5,Anthropic,Small,The Gleaners & I,2000,The Gleaners & I (2000),B,-0.0223,-0.217776700075361,123,171
Claude Haiku 4.5,Anthropic,Small,Rain Man,1988,Rain Man (1988),C,-0.0235,-0.22949588840202453,124,151
Claude Haiku 4.5,Anthropic,Small,Alien: Romulus,2024,Alien: Romulus (2024),C,-0.0235,-0.22949588840202453,125,136
Claude Haiku 4.5,Anthropic,Small,Independence Day,1996,Independence Day (1996),C,-0.0262,-0.25586406213701746,126,157
Claude Haiku 4.5,Anthropic,Small,My Big Fat Greek Wedding,2002,My Big Fat Greek Wedding (2002),C,-0.0264,-0.2578172601914614,127,168
Claude Haiku 4.5,Anthropic,Small,The Wandering Earth,2019,The Wandering Earth (2019),C,-0.0291,-0.2841854339264543,128,148
Claude Haiku 4.5,Anthropic,Small,A.I. Artificial Intelligence,2001,A.I. Artificial Intelligence (2001),A,-0.0305,-0.29785782030756175,129,168
Claude Haiku 4.5,Anthropic,Small,Penguins of Madagascar,2014,Penguins of Madagascar (2014),C,-0.0332,-0.3242259940425547,130,159
Claude Haiku 4.5,Anthropic,Small,The Simpsons Movie,2007,The Simpsons Movie (2007),C,-0.035,-0.34180477653255,131,156
Claude Haiku 4.5,Anthropic,Small,Joker,2019,Joker (2019),C,-0.0369,-0.36036015804976723,132,153
Claude Haiku 4.5,Anthropic,Small,"Goodbye, Dragon Inn",2003,"Goodbye, Dragon Inn (2003)",B,-0.0382,-0.37305594540365267,133,151
Claude Haiku 4.5,Anthropic,Small,Twister,1996,Twister (1996),C,-0.0445,-0.4345816841186362,134,150
Claude Haiku 4.5,Anthropic,Small,Zama,2017,Zama (2017),B,-0.0465,-0.4541136646630754,135,152
Claude Haiku 4.5,Anthropic,Small,The Hour of the Furnaces,1968,The Hour of the Furnaces (1968),B,-0.0475,-0.463879654935295,136,163
Claude Haiku 4.5,Anthropic,Small,Where is the Friend's House?,1987,Where is the Friend's House? (1987),B,-0.051,-0.4980606208880636,137,173
Claude Haiku 4.5,Anthropic,Small,American Beauty,1999,American Beauty (1999),A,-0.052,-0.5078266111602832,138,156
Claude Haiku 4.5,Anthropic,Small,Top Gun,1986,Top Gun (1986),C,-0.0545,-0.5322415868408322,139,158
Claude Haiku 4.5,Anthropic,Small,La Région centrale,1971,La Région centrale (1971),B,-0.058,-0.5664225527936009,140,157
Claude Haiku 4.5,Anthropic,Small,In a Year with 13 Moons,1978,In a Year with 13 Moons (1978),B,-0.0628,-0.6132993061002548,141,174
Claude Haiku 4.5,Anthropic,Small,The Wind,1928,The Wind (1928),B,-0.0685,-0.6689654506519067,142,152
Claude Haiku 4.5,Anthropic,Small,Bambi,1942,Bambi (1942),A,-0.0725,-0.708029411740785,143,155
Claude Haiku 4.5,Anthropic,Small,Limite,1931,Limite (1931),B,-0.0807,-0.7881105319729858,144,167
Claude Haiku 4.5,Anthropic,Small,Incredibles 2,2018,Incredibles 2 (2018),C,-0.0838,-0.8183851018168665,145,165
Claude Haiku 4.5,Anthropic,Small,The Secret Life of Pets,2016,The Secret Life of Pets (2016),C,-0.0864,-0.8437766765246375,146,165
Claude Haiku 4.5,Anthropic,Small,The Green Ray,1986,The Green Ray (1986),B,-0.0887,-0.8662384541507426,147,172
Claude Haiku 4.5,Anthropic,Small,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,The Chronicles of Narnia: The Voyage of the Dawn Treader (2010),C,-0.0901,-0.87991084053185,148,149
Claude Haiku 4.5,Anthropic,Small,Sing,2016,Sing (2016),C,-0.0904,-0.8828406376135158,149,154
Claude Haiku 4.5,Anthropic,Small,The Bodyguard,1992,The Bodyguard (1992),C,-0.0904,-0.8828406376135158,150,166
Claude Haiku 4.5,Anthropic,Small,Mary Poppins Returns,2018,Mary Poppins Returns (2018),C,-0.0905,-0.8838172366407379,151,172
Claude Haiku 4.5,Anthropic,Small,Out 1,1971,Out 1 (1971),B,-0.0939,-0.9170216035662845,152,165
Claude Haiku 4.5,Anthropic,Small,The Ascent,1977,The Ascent (1977),B,-0.0945,-0.9228811977296163,153,166
Claude Haiku 4.5,Anthropic,Small,Death in Venice,1971,Death in Venice (1971),B,-0.0964,-0.9414365792468335,154,198
Claude Haiku 4.5,Anthropic,Small,Intolerance,1916,Intolerance (1916),B,-0.107,-1.0449560761323613,155,186
Claude Haiku 4.5,Anthropic,Small,The Wolverine,2013,The Wolverine (2013),C,-0.1111,-1.0849966362484618,156,158
Claude Haiku 4.5,Anthropic,Small,"Ivan the Terrible, Part II",1946,"Ivan the Terrible, Part II (1946)",B,-0.1114,-1.0879264333301275,157,170
Claude Haiku 4.5,Anthropic,Small,Armageddon,1998,Armageddon (1998),C,-0.1131,-1.104528616792901,158,175
Claude Haiku 4.5,Anthropic,Small,The Golden Compass,2007,The Golden Compass (2007),C,-0.1152,-1.125037196364562,159,165
Claude Haiku 4.5,Anthropic,Small,Titanic,1997,Titanic (1997),A,-0.1181,-1.1533585681539988,160,168
Claude Haiku 4.5,Anthropic,Small,The Time to Live and the Time to Die,1985,The Time to Live and the Time to Die (1985),B,-0.1182,-1.1543351671812208,161,166
Claude Haiku 4.5,Anthropic,Small,Gone with the Wind,1939,Gone with the Wind (1939),A,-0.1231,-1.202188519515097,162,193
Claude Haiku 4.5,Anthropic,Small,Stromboli,1950,Stromboli (1950),B,-0.129,-1.2598078621211928,163,173
Claude Haiku 4.5,Anthropic,Small,Superman Returns,2006,Superman Returns (2006),C,-0.1299,-1.2685972533661902,164,158
Claude Haiku 4.5,Anthropic,Small,The Puppetmaster,1993,The Puppetmaster (1993),B,-0.1306,-1.275433446556744,165,175
Claude Haiku 4.5,Anthropic,Small,Planet of the Apes,2001,Planet of the Apes (2001),C,-0.131,-1.279339842665632,166,165
Claude Haiku 4.5,Anthropic,Small,Avatar,2009,Avatar (2009),A,-0.1313,-1.2822696397472977,167,186
Claude Haiku 4.5,Anthropic,Small,Meet the Fockers,2004,Meet the Fockers (2004),C,-0.1313,-1.2822696397472977,168,159
Claude Haiku 4.5,Anthropic,Small,Lucy,2014,Lucy (2014),C,-0.1324,-1.2930122290467392,169,149
Claude Haiku 4.5,Anthropic,Small,Snow White and the Huntsman,2012,Snow White and the Huntsman (2012),C,-0.1326,-1.2949654271011832,170,156
Claude Haiku 4.5,Anthropic,Small,Underground,1995,Underground (1995),B,-0.1333,-1.301801620291737,171,144
Claude Haiku 4.5,Anthropic,Small,Ant-Man and the Wasp: Quantumania,2023,Ant-Man and the Wasp: Quantumania (2023),C,-0.1336,-1.3047314173734028,172,141
Claude Haiku 4.5,Anthropic,Small,JFK,1991,JFK (1991),A,-0.1339,-1.3076612144550686,173,188
Claude Haiku 4.5,Anthropic,Small,The Matrix Reloaded,2003,The Matrix Reloaded (2003),C,-0.134,-1.3086378134822907,174,186
Claude Haiku 4.5,Anthropic,Small,Ocean's Twelve,2004,Ocean's Twelve (2004),C,-0.1343,-1.3115676105639567,175,173
Claude Haiku 4.5,Anthropic,Small,Beetlejuice Beetlejuice,2024,Beetlejuice Beetlejuice (2024),C,-0.1357,-1.325239996945064,176,163
Claude Haiku 4.5,Anthropic,Small,X-Men Origins: Wolverine,2009,X-Men Origins: Wolverine (2009),C,-0.1367,-1.3350059872172835,177,144
Claude Haiku 4.5,Anthropic,Small,Full River Red,2023,Full River Red (2023),C,-0.1403,-1.3701635521972744,178,148
Claude Haiku 4.5,Anthropic,Small,The Meg,2018,The Meg (2018),C,-0.1413,-1.379929542469494,179,139
Claude Haiku 4.5,Anthropic,Small,Peter Rabbit,2018,Peter Rabbit (2018),C,-0.1432,-1.398484923986711,180,156
Claude Haiku 4.5,Anthropic,Small,2012,2009,2012 (2009),C,-0.1442,-1.4082509142589306,181,136
Claude Haiku 4.5,Anthropic,Small,Die Another Day,2002,Die Another Day (2002),C,-0.1445,-1.4111807113405965,182,139
Claude Haiku 4.5,Anthropic,Small,Thunderbolts*,2025,Thunderbolts* (2025),C,-0.1466,-1.4316892909122578,183,156
Claude Haiku 4.5,Anthropic,Small,Cars 2,2011,Cars 2 (2011),C,-0.1473,-1.4385254841028112,184,134
Claude Haiku 4.5,Anthropic,Small,The Hangover Part II,2011,The Hangover Part II (2011),C,-0.1494,-1.4590340636744725,185,150
Claude Haiku 4.5,Anthropic,Small,The Passion of the Christ,2004,The Passion of the Christ (2004),C,-0.1513,-1.4775894451916898,186,144
Claude Haiku 4.5,Anthropic,Small,The Eight Hundred,2020,The Eight Hundred (2020),C,-0.1534,-1.498098024763351,187,152
Claude Haiku 4.5,Anthropic,Small,xXx: Return of Xander Cage,2017,xXx: Return of Xander Cage (2017),C,-0.1541,-1.5049342179539047,188,141
Claude Haiku 4.5,Anthropic,Small,The Angry Birds Movie,2016,The Angry Birds Movie (2016),C,-0.1573,-1.5361853868250075,189,131
Claude Haiku 4.5,Anthropic,Small,Hello Mr. Billionaire,2018,Hello Mr. Billionaire (2018),C,-0.1585,-1.547904575151671,190,146
Claude Haiku 4.5,Anthropic,Small,"Hi, Mom",2021,"Hi, Mom (2021)",C,-0.1609,-1.571342951804998,191,149
Claude Haiku 4.5,Anthropic,Small,The Grinch,2018,The Grinch (2018),C,-0.1629,-1.590874932349437,192,144
Claude Haiku 4.5,Anthropic,Small,The Fantastic Four: First Steps,2025,The Fantastic Four: First Steps (2025),C,-0.1655,-1.6162665070572082,193,136
Claude Haiku 4.5,Anthropic,Small,Uncharted,2022,Uncharted (2022),C,-0.1665,-1.6260324973294278,194,140
Claude Haiku 4.5,Anthropic,Small,The Amazing Spider-Man 2,2014,The Amazing Spider-Man 2 (2014),C,-0.1772,-1.7305285932421774,195,137
Claude Haiku 4.5,Anthropic,Small,Monster Hunt,2015,Monster Hunt (2015),C,-0.1785,-1.743224380596063,196,132
Claude Haiku 4.5,Anthropic,Small,"My People, My Homeland",2020,"My People, My Homeland (2020)",C,-0.1869,-1.8252586988827078,197,128
Claude Haiku 4.5,Anthropic,Small,Noah,2014,Noah (2014),C,-0.209,-2.041087083898761,198,131
Claude Haiku 4.5,Anthropic,Small,Twenty Years Later,1984,Twenty Years Later (1984),B,-0.2116,-2.066478658606532,199,123
Claude Haiku 4.5,Anthropic,Small,Pegasus 2,2024,Pegasus 2 (2024),C,-0.2258,-2.20515572047205,200,123
Claude Sonnet 4.6,Anthropic,Large,The Godfather,1972,The Godfather (1972),A,0.247,1.9493549381598925,1,148
Claude Sonnet 4.6,Anthropic,Large,Spirited Away,2001,Spirited Away (2001),A,0.2427,1.9154187308635717,2,179
Claude Sonnet 4.6,Anthropic,Large,Once Upon a Time in the West,1968,Once Upon a Time in the West (1968),B,0.2427,1.9154187308635717,3,211
Claude Sonnet 4.6,Anthropic,Large,The Lord of the Rings: The Fellowship of the Ring,2001,The Lord of the Rings: The Fellowship of the Ring (2001),A,0.2405,1.8980560201538264,4,217
Claude Sonnet 4.6,Anthropic,Large,Schindler's List,1993,Schindler's List (1993),A,0.2402,1.8956883777843156,5,248
Claude Sonnet 4.6,Anthropic,Large,"Aguirre, the Wrath of God",1972,"Aguirre, the Wrath of God (1972)",B,0.2397,1.8917423071684645,6,257
Claude Sonnet 4.6,Anthropic,Large,Raiders of the Lost Ark,1981,Raiders of the Lost Ark (1981),A,0.2384,1.8814825235672512,7,184
Claude Sonnet 4.6,Anthropic,Large,Cinema Paradiso,1988,Cinema Paradiso (1988),B,0.2379,1.8775364529514,8,197
Claude Sonnet 4.6,Anthropic,Large,High and Low,1963,High and Low (1963),B,0.2367,1.868065883473357,9,209
Claude Sonnet 4.6,Anthropic,Large,Amadeus,1984,Amadeus (1984),B,0.2366,1.8672766693501868,10,257
Claude Sonnet 4.6,Anthropic,Large,Back to the Future,1985,Back to the Future (1985),A,0.2364,1.8656982411038463,11,240
Claude Sonnet 4.6,Anthropic,Large,Ran,1985,Ran (1985),B,0.2357,1.8601737422416544,12,275
Claude Sonnet 4.6,Anthropic,Large,Woman in the Dunes,1964,Woman in the Dunes (1964),B,0.2335,1.8428110315319093,13,272
