title,year,set,set_B,set_C,era_f,region,imdb_id,imdb_rating,imdb_votes,log_imdb_votes,tspdt_pos,mojo_rank,log_tspdt,log_mojo,lam_z_claude_sonnet_4_6,lam_z_gpt_5_4_nano_2026_03_17,lam_z_gpt_5_4_2026_03_05,lam_z_claude_haiku_4_5,lam_z_mistral_small_3_2_24b_instruct,lam_z_mistral_large_2512,lam_z_qwen_turbo,lam_z_qwen_plus,ensemble_lam_z,cross_model_sd,ensemble_rank,director,country,language,item_label,wiki_n_languages,wiki_revisions,wiki_length_bytes,log_wiki_revisions,log_wiki_length
Back to the Future,1985,A,0,0,1980s_90s,North America,tt0088763,8.5,1452252,14.188626013027182,233.0,401.0,-5.4510384535657,-5.993961427306569,1.8656982411038467,1.126012395235745,1.9413541601123312,1.508850380053064,1.051957591432651,0.6360546955159315,-0.0722545691461581,1.144791671033847,1.1503080706676572,0.6585155458193925,27,"Zemeckis, Robert",USA,English,Back to the Future (1985),87,9529,210999,9.162199996648248,12.259613412458204
The Matrix,1999,A,0,0,1980s_90s,North America,tt0133093,8.7,2246236,14.624766484450577,234.0,297.0,-5.455321115357701,-5.6937321388027,1.3345571362102708,0.3553494615388984,1.9975307687658104,0.9678145189720982,1.2670247451021146,0.1710186797215021,0.4139612932757692,-0.0158620029732137,0.8114243250766563,0.6941643765090971,41,"Wachowski, Lana & Lilly Wachowski",USA,English,The Matrix (1999),86,11498,177515,9.350015354048663,12.086816024680235
Schindler's List,1993,A,0,0,1980s_90s,North America,tt0108052,9.0,1584716,14.275915769428172,251.0,542.0,-5.525452939131784,-6.295266001439646,1.895688377784316,1.9251913198378827,0.5639328985828582,1.3525945356975504,1.805069940071685,1.784322973646017,0.7890162800882224,1.74570308888607,1.4826899268243254,0.5308598026544159,11,"Spielberg, Steven",USA,English,Schindler's List (1993),88,5560,110586,8.623533227187563,11.613557820474762
The Exorcist,1973,A,0,0,1960s_70s,North America,tt0070047,8.1,498756,13.119872277189035,255.0,345.0,-5.541263545158426,-5.843544417031359,-0.9510069644907628,-0.2252068661226729,-0.2918484254500185,0.1679799156773132,0.040764658390261,-0.7961214400828547,-0.1716667343253626,-0.6413165749142629,-0.358552803914795,0.3993336862240507,125,"Friedkin, William",USA,English,The Exorcist (1973),56,6322,211147,8.751949058058614,12.26031458837785
The Empire Strikes Back,1980,A,0,0,1980s_90s,North America,tt0080684,8.7,1504120,14.223718567543132,305.0,229.0,-5.720311776607412,-5.433722003554239,1.7331102684112452,1.9193418858060285,1.8902845158818955,1.0244572625509718,1.903170747008633,1.7219811889199523,1.5400300006693035,1.525606416734663,1.6572477857478367,0.2987871609730645,6,"Kershner, Irvin",USA,English,The Empire Strikes Back (1980),70,8686,218583,9.06958293425992,12.294925658999173
Mad Max: Fury Road,2015,A,0,0,2000s_plus,North America,tt1392190,8.1,1205731,14.002596579979985,341.0,420.0,-5.831882477283517,-6.040254711277414,0.1878290152439028,1.8762023098211005,1.851617499535994,0.925820760801554,1.736399375215821,1.8887875858896928,1.9069512648761853,0.2699469849644049,1.3304443495435818,0.7533093455233977,17,"Miller, George",USA,English,Mad Max: Fury Road (2015),57,5347,130350,8.584477938221834,11.77798609098546
Get Out,2017,A,0,0,2000s_plus,North America,tt5052448,7.8,816609,13.61291567911474,345.0,701.0,-5.843544417031359,-6.55250788703459,-0.1594251989510056,1.6999881096114802,0.6792043812744137,0.8164416697526945,1.193071829103492,0.0960400467401539,1.915084987481757,0.6729297408099669,0.8641669457278691,0.7193275136389159,39,"Peele, Jordan",USA,English,Get Out (2017),51,4197,67934,8.342363500380579,11.126306644658424
The Silence of the Lambs,1991,A,0,0,1980s_90s,North America,tt0102926,8.6,1722199,14.35911252059138,362.0,663.0,-5.891644211825771,-6.496774990185863,1.1822388104384132,1.8593851869795184,0.869621197619325,1.174853512743154,1.0640315369018138,1.141528625727268,0.8070912192117142,1.3799309214977604,1.1848351263898709,0.3276988529366145,23,"Demme, Jonathan",USA,English,The Silence of the Lambs (1991),86,4258,79667,8.356789669923213,11.28562327850716
A.I. Artificial Intelligence,2001,A,0,0,2000s_plus,North America,tt0212720,7.2,339072,12.733967753191688,433.0,791.0,-6.07073772800249,-6.673297967767653,-0.5271989803483405,-0.9212895159133728,-0.2976849562192112,-0.2978578203075616,-0.5070906172730039,-0.0834031984848705,-1.022996367041823,-0.088699750591665,-0.468277650772481,0.3521897390339265,132,"Spielberg, Steven",USA,English,A.I. Artificial Intelligence (2001),54,3305,70895,8.10349427838097,11.16896929343927
Jurassic Park,1993,A,0,0,1980s_90s,North America,tt0107290,8.2,1177025,13.97850062645864,524.0,40.0,-6.261491684321042,-3.688879454113936,0.3054219195962694,0.6514770594015387,1.6670372139602752,1.0303168567143035,1.2406129893883209,0.656273652724385,-0.0794845447955548,-0.0522808767824394,0.6774217837758874,0.6171287664220624,49,"Spielberg, Steven",USA,English,Jurassic Park (1993),88,9346,237333,9.142810715182582,12.37722371071082
Se7en,1995,A,0,0,1980s_90s,North America,tt0114369,8.6,2019515,14.518367941539104,536.0,528.0,-6.284134161070802,-6.269096283706261,0.7023966235509034,0.931518713676579,0.1086834985858292,1.406307482194758,0.8919778139662432,1.427963852847025,0.1844095664074243,0.372078174559842,0.7531669657235757,0.509855915753406,46,"Fincher, David",USA,English,Se7en (1995),63,4569,176882,8.42726848388825,12.083243776038788
Terminator 2: Judgment Day,1991,A,0,0,1980s_90s,North America,tt0103064,8.6,1283526,14.065121536197626,561.0,260.0,-6.329720905522696,-5.560681631015528,0.7718474663898851,1.3504844262081663,0.9856222466570296,0.8408566454332435,1.802806075296217,0.2544218782063726,1.1450925808210095,0.2351115404512325,0.9232803574328944,0.5291272535365806,35,"Cameron, James",USA,English,Terminator 2: Judgment Day (1991),74,7706,242490,8.949884285777992,12.398719875268894
Forrest Gump,1994,A,0,0,1980s_90s,North America,tt0109830,8.8,2495108,14.729842572804063,568.0,163.0,-6.342121418721151,-5.093750200806762,1.6052575804576654,-0.0365626185953612,-0.8346457869849379,0.7471031388199354,0.1856520040202154,-0.2771682050658827,-0.0559871239350156,0.0601426032373441,0.1742239489942453,0.727833783075632,89,"Zemeckis, Robert",USA,English,Forrest Gump (1994),100,9332,101547,9.141311785565746,11.528286872082928
"Crouching Tiger, Hidden Dragon",2000,A,0,0,2000s_plus,North America,tt0190332,7.9,294735,12.593831926519403,573.0,893.0,-6.350885716714739,-6.794586580876499,-0.3598855862362482,1.6166336746575516,0.8280359158888272,0.8457396405693532,0.8180248979676206,0.0842456550352227,0.2368268898655503,0.2034429545301667,0.5341330052847555,0.6135720504637483,61,"Lee, Ang",USA,Mandarin,"Crouching Tiger, Hidden Dragon (2000)",57,2208,76560,7.700295203420117,11.245843087692526
WALL-E,2008,A,0,0,2000s_plus,North America,tt0910970,8.4,1320050,14.09318017263305,576.0,251.0,-6.356107660695891,-5.525452939131784,1.7978258265112057,1.7789554690415172,1.8742340562666155,1.26763042032924,1.3847457134264527,0.5947743245486724,1.3177082494503556,1.5216478434945298,1.4421902378835734,0.4140813177246418,13,"Stanton, Andrew",USA,English,WALL-E (2008),89,12435,137488,9.428350771178645,11.831299192888592
The Lord of the Rings: The Fellowship of the Ring,2001,A,0,0,2000s_plus,North America,tt0120737,8.9,2205226,14.606340555941964,591.0,83.0,-6.381816017406098,-4.418840607796597,1.8980560201538268,1.7270417420088076,1.9588637524199093,0.806675679480475,1.8760043697030169,0.4220707317264658,0.2711692742001845,0.3784118917440552,1.167286682679593,0.7641018558704225,26,"Jackson, Peter",USA,English,The Lord of the Rings: The Fellowship of the Ring (2001),81,4653,85117,8.445482343862237,11.351793808058828
Titanic,1997,A,0,0,1980s_90s,North America,tt0120338,8.0,1391672,14.146016459926969,641.0,4.0,-6.46302945692067,-1.3862943611198906,-0.4806353470812959,-0.1118740817554895,-0.9666972956379224,-1.1533585681539984,-0.1614739282182169,-1.2249318242121383,-0.3352449333929628,-1.179682535572381,-0.7017373142530505,0.4779951558334726,147,"Cameron, James",USA,English,Titanic (1997),120,13254,229580,9.492130118723123,12.34401118739012
The Dark Knight,2008,A,0,0,2000s_plus,North America,tt0468569,9.1,3165519,14.967827581159646,648.0,59.0,-6.473890696352274,-4.07753744390572,1.229591657828628,1.9588255655210471,0.4829510341603098,1.6592466302452458,1.2345760166537394,-0.0530747626721903,0.7194277644627793,0.4061219044249877,0.9547082263280684,0.6816993602160124,32,"Nolan, Christopher",USA,English,The Dark Knight (2008),88,15428,283476,9.644004134443026,12.554886270111034
Bambi,1942,A,0,0,pre1960,North America,tt0034492,7.3,165167,12.014712362245504,693.0,677.0,-6.541029999189903,-6.517671272912275,-0.9660020328309974,-1.086536027313266,-0.7967083369851855,-0.7080294117407847,-1.134935781669473,-1.1988156711512197,-0.9624453209781256,-0.9738367270854534,-0.9784136637193132,0.1653226793613297,163,"Hand, David",USA,English,Bambi (1942),106,2974,64862,7.99799931797973,11.08003263226066
Toy Story,1995,A,0,0,1980s_90s,North America,tt0114709,8.3,1173345,13.975369202038555,700.0,389.0,-6.551080335043404,-5.963579343618446,0.2201867942938829,1.920804244313992,0.5646624649290074,1.0342232528231916,1.812616155989912,0.1853404410774899,0.0642112212362043,0.3633693134315489,0.7706767360119037,0.7397857122965754,44,"Lasseter, John",USA,English,Toy Story (1995),107,9952,127179,9.205629292246064,11.753358684821398
The Social Network,2010,A,0,0,2000s_plus,North America,tt1285016,7.8,819305,13.616211698881942,716.0,835.0,-6.573680166960646,-6.727431724850855,-0.0189450850267017,0.4701446044140454,0.811255889927398,-0.0722634450192889,-0.9968400303659226,0.100252329491915,-0.5620854193927839,-0.3420484379601912,-0.0763161992414412,0.5700673418759328,106,"Fincher, David",USA,English,The Social Network (2010),64,4184,114600,8.339261982923576,11.649211809228197
Once Upon a Time... in Hollywood,2019,A,0,0,2000s_plus,North America,tt7131622,7.6,961496,13.77624568383591,721.0,399.0,-6.580639137284948,-5.988961416889863,-0.1089154950681098,0.0263187972470759,-0.0401480360285841,0.0195368635395752,-0.3335276511537878,-0.452399167539146,0.1103023160011082,-0.5811462616642379,-0.1699973293332632,0.2533093426117129,109,"Tarantino, Quentin",USA,English,Once Upon a Time... in Hollywood (2019),63,7979,250565,8.984693690443855,12.431477637858018
JFK,1991,A,0,0,1980s_90s,North America,tt0102138,8.0,182233,12.11304136705655,765.0,944.0,-6.639875833826536,-6.8501261661455,-1.096222363154088,-0.9914827242956284,-0.9936912504454384,-1.307661214455068,-0.6640519083721211,-1.1836514532448794,-0.583775346340974,-1.1488056642993418,-0.9961677405759424,0.2523840852033319,165,"Stone, Oliver",USA,English,JFK (1991),46,2323,74121,7.751045117971802,11.213467663305629
Saving Private Ryan,1998,A,0,0,1980s_90s,North America,tt0120815,8.6,1637916,14.3089352600289,818.0,287.0,-6.706862336602747,-5.6594822157596205,0.1752015892731788,1.3731509830816029,-0.2225396225658554,0.8555056308415729,0.5048569373612088,-0.0623417847260648,-0.0216447396003813,0.2691552703163782,0.358918032997705,0.534356198959311,71,"Spielberg, Steven",USA,English,Saving Private Ryan (1998),74,8267,189641,9.02014792080166,12.152893363258691
Inglourious Basterds,2009,A,0,0,2000s_plus,North America,tt0361748,8.4,1782080,14.39329177938344,823.0,547.0,-6.71295620067707,-6.304448802421981,0.1286379560061342,0.1769417235673324,0.1531870457009234,0.512719372286665,0.3267662416910564,0.3588864904500488,0.02986883690157,-0.7022786028123145,0.1230911329739269,0.3669673360203103,94,"Tarantino, Quentin",USA,English; German; French,Inglourious Basterds (2009),70,7800,111189,8.962007209588313,11.618995728697294
Avatar,2009,A,0,0,2000s_plus,North America,tt0499549,7.9,1496983,14.21896230729186,895.0,1.0,-6.796823718274855,-0.0,-1.1711977048552615,-0.7604300800373709,-1.0724844158295397,-1.2822696397472972,-1.1266349441594234,-1.2889585220389077,-1.2010345174082162,-1.1939333992368606,-1.1371179029141094,0.1685147146748449,176,"Cameron, James",USA,English,Avatar (2009),111,10930,194895,9.299358068293834,12.18022136193974
The Lord of the Rings: The Return of the King,2003,A,0,0,2000s_plus,North America,tt0167260,9.0,2163337,14.58716249492598,959.0,34.0,-6.865891074883438,-3.526360524616161,1.8317620338075264,1.881320564598973,1.1738503639634934,0.221692862174521,1.87675899129484,0.1541695487144576,1.84278523098779,0.4251230559776272,1.1759328314399036,0.7911860000169018,24,"Jackson, Peter",USA,English,The Lord of the Rings: The Return of the King (2003),83,6161,115144,8.726156679156613,11.653947482682115
Ghostbusters,1984,A,0,0,1980s_90s,North America,tt0087332,7.8,487218,13.096466940508153,971.0,610.0,-6.878326468291324,-6.413458957167356,0.1294271701293045,-0.6054200781932234,-0.1700108456431213,0.8457396405693532,0.9100887321699876,0.2401001168503847,-0.0993669778313957,-0.0087365711409739,0.1552276483637894,0.51137891999048,92,"Reitman, Ivan",USA,English,Ghostbusters (1984),53,7672,210282,8.945462952177666,12.256209521523646
American Beauty,1999,A,0,0,1980s_90s,North America,tt0169547,8.3,1279450,14.061940856053672,972.0,472.0,-6.879355804460439,-6.156978985585555,-0.8278895612762043,1.5917735800221695,-1.0177669398683584,-0.5078266111602829,-0.3554116773166454,-0.38584510006132,0.3308165733077072,-0.0475305888942795,-0.1524600406559017,0.8206114286932552,108,"Mendes, Sam",USA,English,American Beauty (1999),64,4789,137683,8.47428569040496,11.83271648333963
Dead Poets Society,1989,A,0,0,1980s_90s,North America,tt0097165,8.1,651893,13.38763571701175,982.0,792.0,-6.889591308354466,-6.674561391814426,0.3109464184584612,0.1221032795186953,-0.5464670802560492,0.5390875460216579,0.1516940323881949,0.6048838031528991,0.0334838247262683,0.2588629798920319,0.1843243504877699,0.3557811350283589,88,"Weir, Peter",USA,English,Dead Poets Society (1989),72,3699,46759,8.216088098632316,10.752783415586004
Persona,1966,B,1,0,1960s_70s,Europe,tt0060827,8.0,140548,11.853304346421975,16.0,,-2.772588722239781,,1.245375940292033,1.6597732506424796,1.7414529812674815,1.2090344786959224,1.4496431703232031,1.7396727764773492,1.3565693685658629,1.8921702987709992,1.5367115331294163,0.255479444570744,10,"Bergman, Ingmar",Sweden,Swedish,Persona (1966),42,942,102971,6.849066282633458,11.54221238559512
Breathless,1960,B,1,0,1960s_70s,Europe,tt0053472,7.6,95409,11.465928192609317,18.0,,-2.8903717578961645,,0.1325840266219855,-0.3070989425686376,-0.0467141331439259,0.2714994125628409,-0.2467461680941796,0.0404379144169069,0.0325800777700938,-0.003986283252814,-0.0159305119609662,0.1887358034479302,102,"Godard, Jean-Luc",France,French; English,Breathless (1960),44,983,33113,6.891625897052253,10.407711432667556
The Passion of Joan of Arc,1928,B,1,0,pre1960,Europe,tt0019254,8.1,68203,11.130243831133892,19.0,,-2.9444389791664403,,0.5682302226119615,-0.1981532337253452,1.795440890882514,0.9092185773387808,0.2482855961414978,1.8348703666671509,0.3624477167738177,0.9246949988824398,0.8056293919466022,0.7206099752181897,42,"Dreyer, Carl Theodor",France,French,The Passion of Joan of Arc (1928),37,817,45137,6.706862336602747,10.717479742788276
Blade Runner,1982,B,1,0,1980s_90s,North America,tt0083658,8.1,881806,13.68972735614683,39.0,,-3.6635616461296463,,1.834129676177037,0.7655410230227039,1.9092532408817715,0.4267786578911325,1.7379086183994663,1.082556667202612,0.543197108008735,-0.0261542933975601,1.0341513372732372,0.7279838331569088,29,"Scott, Ridley",USA,English,Blade Runner (1982),68,8651,148630,9.06554578707295,11.909222003237106
Pather Panchali,1955,B,1,0,pre1960,South/SE Asia,tt0048473,8.2,41615,10.636215958180196,46.0,,-3.828641396489095,,1.804139539496568,1.7226546664849167,1.8559948976128884,1.6133464759658138,0.9115979753536329,1.9266981306555435,1.8915875666212176,1.879502864402573,1.7006902645741444,0.3348975485362687,4,"Ray, Satyajit",India,Bengali,Pather Panchali (1955),39,1395,89905,7.241366283322318,11.406519959055778
Beau Travail,1999,B,1,0,1980s_90s,Europe,tt0209933,7.3,18191,9.808682245262217,52.0,,-3.951243718581427,,0.9928274208775542,1.9164171687901008,0.34725169377658,0.3769721075028126,1.559817922729314,1.8643563459294787,1.737950584071538,1.8367502734091343,1.329042939635814,0.6647439909143809,18,"Denis, Claire",France,French; Italian; Russian,Beau Travail (1999),22,250,14618,5.525452939131784,9.590077331511615
M,1931,B,1,0,pre1960,Europe,tt0022100,8.3,182820,12.11625734120781,53.0,,-3.9702919135521215,,1.4229491180053384,0.1476945534080593,1.6852763726140023,0.7305009553571621,0.3712889156085945,0.5223230612183809,0.1482596881604408,-0.0277377226936134,0.6250693677097956,0.6242846662200471,53,"Lang, Fritz",Germany,German,M (1931),45,1334,42149,7.196686570834349,10.64898996343
Shoah,1985,B,1,0,1980s_90s,Europe,tt0090015,8.7,11593,9.3581567466704,66.0,,-4.189654742026425,,-0.6329536728531534,1.9266536783458463,0.6164616755055925,-0.1894553282859241,0.7916131422538268,0.0025273696510566,1.7171644040795226,0.3166581491979769,0.5685836772368431,0.8958497651122093,58,"Lanzmann, Claude",France,English; French; German; Hebrew; Polish; Yiddish,Shoah (1985),25,734,42736,6.5998704992128365,10.66282033455183
Once Upon a Time in the West,1968,B,1,0,1960s_70s,North America,tt0064116,8.5,384103,12.85866602476952,67.0,,-4.204692619390966,,1.915418730863572,1.641493769292934,1.9595933187660584,1.4014244870586483,1.965049717538093,1.6335232511329685,0.6525504897058599,0.5945499906553291,1.470450469376683,0.5578864517498195,12,"Leone, Sergio",USA,Italian; English,Once Upon a Time in the West (1968),53,2231,51510,7.710653323501202,10.849550656077264
Sansho the Bailiff,1954,B,1,0,pre1960,East Asia,tt0047445,8.3,19863,9.896613983592957,86.0,,-4.454347296253507,,1.722061270686862,1.9434708011874284,1.1468564091559774,1.2139174738320322,0.9780046754340286,1.130576690572689,0.5477158427896079,1.8161656925604408,1.3123461070273832,0.4760819047538841,19,"Mizoguchi, Kenji",Japan,Japanese,Sansho the Bailiff (1954),26,317,16491,5.762051382780177,9.71063069382679
The Conformist,1970,B,1,0,1960s_70s,Global Co-production,tt0065571,7.9,39000,10.571316925111784,87.0,,-4.465908118654584,,0.845244379844718,-0.0043907314201608,0.3873778428147797,0.5263917586677724,-0.4889796990692596,0.7017663064434053,-0.1481693134648234,0.1503980731123815,0.2462048271161016,0.4524257638435835,84,"Bertolucci, Bernardo",Italy,Italian,The Conformist (1970),34,460,38816,6.133398042996649,10.566613573984062
The Seventh Seal,1957,B,1,0,pre1960,Europe,tt0050976,8.1,216241,12.284148805430942,88.0,,-4.477336814478206,,1.7970366123880357,0.4138438018574446,0.107224365893531,1.072310614884848,0.3569511053639637,0.1179439170493118,0.1509709290289646,0.3974130432966946,0.5517117987203493,0.5914777299080953,60,"Bergman, Ingmar",Sweden,Swedish; Latin,The Seventh Seal (1957),55,1696,45270,7.436617265234226,10.720421929870149
Pickpocket,1959,B,1,0,pre1960,Europe,tt0053168,7.5,27535,10.22321320169658,92.0,,-4.5217885770490405,,-0.0465675793376603,0.0621465806921854,0.1137904630088727,-0.1298827876253845,-1.073811432731836,0.415331079323648,0.6525504897058599,0.6444280134810076,0.0797481033145866,0.5544174509936665,96,"Bresson, Robert",France,French,Pickpocket (1959),25,258,24621,5.556828061699537,10.11139563120756
The Gold Rush,1925,B,1,0,pre1960,North America,tt0015864,8.1,128142,11.760894303000038,93.0,,-4.532599493153255,,0.1965103705987755,-1.1355250373300485,-0.1466647225663506,0.4726788121705647,0.1154721959807063,-1.0277969914297171,0.1157247977381557,-0.3404650086641379,-0.2187581979377564,0.5842134122940389,116,"Chaplin, Charles",USA,Silent,The Gold Rush (1925),54,850,31671,6.746412128573374,10.363188288785969
Sans Soleil,1983,B,1,0,1980s_90s,Europe,tt0084628,7.7,13071,9.478151314785553,96.0,,-4.564348191467836,,0.6447839925594754,1.876933489075082,0.5114041216601242,0.2021608816300818,0.5131577748712584,1.565284270554438,0.6606842123114312,1.224754850484538,0.8998954491433035,0.5870639030455139,36,"Marker, Chris",France,French,Sans Soleil (1983),19,277,11251,5.627621113690637,9.328301169609746
Cléo from 5 to 7,1962,B,1,0,1960s_70s,Europe,tt0055852,7.8,31527,10.358599600533706,97.0,,-4.574710978503383,,1.6605025690795827,-0.2193574320908182,1.6670372139602752,1.284232603792013,0.398455292914211,1.4119571783903329,0.4401699550048322,1.5849850153366611,1.0284977995483864,0.7200702258497623,30,"Varda, Agnès",France,French,Cléo from 5 to 7 (1962),30,271,12021,5.605802066295997,9.394493583599107
A Clockwork Orange,1971,B,1,0,1960s_70s,Europe,tt0066921,8.2,936539,13.74994644441989,105.0,,-4.653960350157523,,0.1254810995134533,0.9476046572641792,-0.2247283216043027,0.2871249969983923,-0.0407344735265882,-0.0438077406183158,-0.3686835707714225,-0.1274937683449706,0.0693453598638031,0.4077699098326155,97,"Kubrick, Stanley",UK,English,A Clockwork Orange (1971),61,6368,91176,8.759197750371365,11.420557951273969
"Aguirre, the Wrath of God",1972,B,1,0,1960s_70s,Europe,tt0068182,7.8,67958,11.126645146276898,108.0,,-4.68213122712422,,1.891742307168465,-0.1923037996934906,0.1079539322396801,0.6133090720905269,1.3002280951423126,0.4052216007194212,1.910566252700884,0.9571552994515322,0.8742340949774163,0.7847107814119418,38,"Herzog, Werner",Germany,German,"Aguirre, the Wrath of God (1972)",46,990,49273,6.898714534329987,10.80515183754812
The Spirit of the Beehive,1973,B,1,0,1960s_70s,Europe,tt0070040,7.7,22671,10.02884185368883,111.0,,-4.709530201312334,,1.5389635941113649,-0.2127768188049818,-0.0540097966054167,0.7978862882354772,-0.3433377318474825,1.3732041770741303,0.8378186157216501,0.7703106425172441,0.5885073713002482,0.7152805769142766,56,"Erice, Víctor",Spain,Spanish,The Spirit of the Beehive (1973),31,430,24025,6.066108090103747,10.08689185628132
Once Upon a Time in America,1984,B,1,0,1980s_90s,North America,tt0087843,8.3,408827,12.921047362657358,113.0,,-4.727387818712341,,1.7433700520124586,0.1272215342965681,-0.0343115052593914,0.7431967427110475,0.8338719513958969,1.3049651964956,0.0370988125509667,0.2572795505959785,0.6265865418498905,0.647412792122846,51,"Leone, Sergio",USA,English; Italian,Once Upon a Time in America (1984),55,3059,66639,8.026170194946426,11.107060276840723
A Brighter Summer Day,1991,B,1,0,1980s_90s,Global Co-production,tt0101985,8.2,15028,9.61767040669386,117.0,,-4.762173934797756,,0.7237054048765001,1.2400763588569104,1.9318697976123929,0.0107474722945776,1.950711907293462,0.8163403972913081,1.9449086370355184,1.7742048162150292,1.2990705989344624,0.7265634245842931,20,"Yang, Edward",Taiwan,Mandarin; Shanghainese; Taiwanese,A Brighter Summer Day (1991),18,300,19559,5.707110264748875,9.881241943588808
